Départ,Arrivée,Distance (m)
Grenoble Universités - Gières,Châbons,62571.027
Grenoble Universités - Gières,Virieu sur Bourbre,70531.625
Grenoble Universités - Gières,Saint-André-le-Gaz,78607.828
Grenoble,Pont-de-Claix,7621.333
Vif,Saint-Georges-de-Commiers,1394.858
Vif,Jarrie - Vizille,7142.855
Vif,Pont-de-Claix,12969.133
Vif,Grenoble,20590.469
Chambéry - Challes-les-Eaux,Voreppe,80840.563
Chambéry - Challes-les-Eaux,Voiron,93054.188
Chambéry - Challes-les-Eaux,Réaumont - Saint-Cassien,99065.078
Chambéry - Challes-les-Eaux,Rives,103386.148
Chambéry - Challes-les-Eaux,Le Grand-Lemps,113705.75
Chambéry - Challes-les-Eaux,Châbons,118824.172
Chambéry - Challes-les-Eaux,Virieu sur Bourbre,126784.766
Nancy,Walygator parc,71462.148
Saint-André-le-Gaz,Lancey,88223.664
Saint-André-le-Gaz,Brignoud,91783.203
Saint-André-le-Gaz,Goncelin,102478.422
Saint-André-le-Gaz,Pontcharra sur Bréda,113186.523
Saint-André-le-Gaz,Montmélian,121609.664
Rives,Lancey,56760.109
Rives,Brignoud,60319.645
Rives,Goncelin,71014.867
Rives,Pontcharra sur Bréda,81722.969
Rives,Montmélian,90146.109
Rives,Chambéry - Challes-les-Eaux,103390.281
Mâcon,Crêches-sur-Saône,7110.366
Mâcon,Pontanevaux,11003.757
Mâcon,Romanèche-Thorins-Maison Blanche,15723.886
Mâcon,Saint-Georges-de-Reneins,28556.213
Mâcon,Anse,42495.754
Mâcon,Lyon Perrache,71263.492
Mâcon,Quincieux,48306.594
Mâcon,Albigny - Neuville,53990.301
Mâcon,Couzon-au-Mont-d'Or,56954.52
Mâcon,Collonges - Fontaines,59843.848
Mâcon,Lyon Vaise,66730.711
Lyon Perrache,Lyon Vaise,4538.092
Lyon Perrache,Anse,28769.584
Lyon Perrache,Saint-Georges-de-Reneins,42708.746
Lyon Perrache,Romanèche-Thorins-Maison Blanche,55542.133
Lyon Perrache,Pontanevaux,60263.355
Lyon Perrache,Crêches-sur-Saône,64152.543
Bettembourg,Maizières-lès-Metz,35845.766
Bettembourg,Woippy,43259.438
Bettembourg,Metz Nord,45057.605
Luxembourg,Maizières-lès-Metz,45464.906
Luxembourg,Woippy,52878.578
Luxembourg,Metz Nord,54676.746
Valence Ville,Tain-l'Hermitage - Tournon,18054.328
Valence Ville,Saint-Vallier sur Rhône,32348.838
Valence Ville,Saint-Rambert-d'Albon,45261.723
Valence Ville,Le Péage-de-Roussillon,53580.953
Valence Ville,Saint-Clair - Les Roches,62802.164
Valence Ville,Vienne,74615.867
Valence Ville,Lyon Jean Macé,104954.367
Valence Ville,Lyon Perrache,106289.516
Lyon Perrache,Lyon Jean Macé,1336.196
Valence Ville,Lyon Part Dieu,106820.914
Valence Ville,Lyon Vaise,110827.594
Valence Ville,Saint-Germain-au-Mont-d'Or,126338.75
Valence Ville,Anse,135059.078
Valence Ville,Villefranche-sur-Saône,140206.672
Valence Ville,Saint-Georges-de-Reneins,148998.313
Valence Ville,Belleville sur Sâone,154591.563
Valence Ville,Romanèche-Thorins-Maison Blanche,161831.656
Valence Ville,Pontanevaux,166552.859
Valence Ville,Crêches-sur-Saône,170442.047
Valence Ville,Mâcon,177549.328
Mâcon,Lyon Jean Macé,72601.172
Mâcon,Vienne,102947.984
Mâcon,Saint-Clair - Les Roches,114759.914
Mâcon,Le Péage-de-Roussillon,123979.055
Mâcon,Saint-Rambert-d'Albon,132296.906
Mâcon,Saint-Vallier sur Rhône,145211.375
Mâcon,Tain-l'Hermitage - Tournon,159500.484
Mâcon,Valence Ville,177558.813
Valence Ville,Albigny - Neuville,123566.117
Valence Ville,Quincieux,129247.992
Pierrelatte,Donzère,7729.411
Pierrelatte,Montélimar,21508.453
Pierrelatte,Loriol,45525.352
Pierrelatte,Livron,48527.621
Pierrelatte,Valence Ville,65951.867
Pierrelatte,Tain-l'Hermitage - Tournon,84006.203
Pierrelatte,Saint-Vallier sur Rhône,98300.711
Pierrelatte,Saint-Rambert-d'Albon,111213.57
Pierrelatte,Le Péage-de-Roussillon,119532.789
Pierrelatte,Saint-Clair - Les Roches,128754.0
Pierrelatte,Vienne,140567.781
Pierrelatte,Lyon Jean Macé,170906.375
Pierrelatte,Lyon Perrache,172241.531
Pierrelatte,Lyon Vaise,176779.625
Pierrelatte,Collonges - Fontaines,183664.375
Pierrelatte,Couzon-au-Mont-d'Or,186556.813
Pierrelatte,Albigny - Neuville,189518.156
Pierrelatte,Saint-Germain-au-Mont-d'Or,192290.797
Pierrelatte,Quincieux,195200.078
Pierrelatte,Anse,201011.156
Pierrelatte,Villefranche-sur-Saône,206158.75
Pierrelatte,Saint-Georges-de-Reneins,214950.391
Pierrelatte,Belleville sur Sâone,220543.641
Pierrelatte,Romanèche-Thorins-Maison Blanche,227783.734
Pierrelatte,Pontanevaux,232504.938
Pierrelatte,Crêches-sur-Saône,236394.125
Pierrelatte,Mâcon,243501.406
Valence Ville,Collonges - Fontaines,117712.266
Valence Ville,Couzon-au-Mont-d'Or,120604.734
Lyon Part Dieu,Livron,124273.875
Lyon Part Dieu,Loriol,127273.5
Lyon Part Dieu,Donzère,165065.703
Lyon Part Dieu,Sorgues - Châteauneuf-du-Pape,221477.016
Avignon Centre,Pierrelatte,58615.715
Avignon Centre,Donzère,66345.133
Avignon Centre,Montélimar,80124.219
Avignon Centre,Loriol,104141.117
Avignon Centre,Livron,107143.383
Avignon Centre,Valence Ville,124567.656
Avignon Centre,Tain-l'Hermitage - Tournon,142621.969
Avignon Centre,Saint-Vallier sur Rhône,169320.609
Avignon Centre,Saint-Rambert-d'Albon,182233.406
Avignon Centre,Le Péage-de-Roussillon,178148.453
Avignon Centre,Saint-Clair - Les Roches,187369.688
Avignon Centre,Vienne,199183.469
Avignon Centre,Lyon Jean Macé,229522.047
Avignon Centre,Lyon Perrache,230857.219
Avignon Centre,Lyon Vaise,247799.156
Avignon Centre,Saint-Germain-au-Mont-d'Or,263310.344
Avignon Centre,Anse,272030.688
Avignon Centre,Villefranche-sur-Saône,277178.344
Avignon Centre,Saint-Georges-de-Reneins,285969.906
Avignon Centre,Belleville sur Sâone,291563.156
Avignon Centre,Romanèche-Thorins-Maison Blanche,298803.313
Avignon Centre,Pontanevaux,303524.5
Avignon Centre,Crêches-sur-Saône,307413.719
Avignon Centre,Mâcon,314520.875
Avignon Centre,Lyon Part Dieu,231388.641
Lyon Perrache,Livron,123752.75
Lyon Part Dieu,Courthézon,211736.688
Lyon Part Dieu,Bédarrides,217255.813
Lyon Perrache,Courthézon,211215.328
Lyon Perrache,Bédarrides,216734.453
Lyon Perrache,Sorgues - Châteauneuf-du-Pape,220955.875
Lyon Perrache,Loriol,126752.375
Lyon Perrache,Donzère,164544.641
Avignon Centre,Valence TGV Rhône-Alpes Sud,135076.953
Avignon Centre,Romans - Bourg-de-Péage,144125.563
Avignon Centre,Saint-Hilaire - Saint-Nazaire,160982.703
Avignon Centre,Saint-Marcellin,172504.344
Avignon Centre,Tullins Fures,196342.766
Avignon Centre,Moirans,204183.531
Avignon Centre,Grenoble,222626.516
Avignon Centre,Grenoble Universités - Gières,234082.234
Avignon Centre,Pontcharra sur Bréda,268664.375
Avignon Centre,Montmélian,277087.406
Avignon Centre,Chambéry - Challes-les-Eaux,290331.5
Avignon Centre,Aix-les-Bains le Revard,304337.406
Avignon Centre,Grésy-sur-Aix,308644.813
Avignon Centre,Albens,316478.781
Avignon Centre,Rumilly,325346.938
Avignon Centre,Annecy,343911.0
Lyon Perrache,Oullins,4597.793
Lyon Perrache,Pierre-Bénite,6026.189
Lyon Perrache,Irigny - Yvours,8210.253
Lyon Perrache,Vernaison,13555.288
Lyon Perrache,Grigny le Sablon,18087.719
Lyon Perrache,Givors Canal,20507.428
Lyon Perrache,Givors Ville,21989.25
Lyon Perrache,Rive-de-Gier,36669.895
Lyon Perrache,Saint-Chamond,46289.527
Lyon Perrache,Saint-Étienne Châteaucreux,57584.223
Lyon Perrache,Saint-Étienne Carnot,58833.625
Lyon Perrache,Saint-Étienne Le Clapier,60209.695
Lyon Perrache,Saint-Étienne Bellevue,62790.754
Lyon Perrache,La Ricamarie,65935.656
Lyon Perrache,Le Chambon-Feugerolles,69191.195
Lyon Perrache,Firminy,72055.164
Firminy,Le Chambon-Feugerolles,2856.3
Firminy,La Ricamarie,6118.601
Firminy,Saint-Étienne Bellevue,9261.095
Firminy,Saint-Étienne Le Clapier,11843.65
Firminy,Saint-Étienne Carnot,13225.251
Firminy,Saint-Étienne Châteaucreux,14476.316
Firminy,Saint-Chamond,25764.463
Firminy,Rive-de-Gier,35386.566
Firminy,Givors Ville,50067.934
Firminy,Givors Canal,51548.66
Firminy,Grigny le Sablon,53966.34
Firminy,Vernaison,58514.824
Firminy,Irigny - Yvours,63842.297
Firminy,Pierre-Bénite,66021.766
Firminy,Oullins,67452.578
Firminy,Lyon Perrache,72048.156
Saint-Étienne Châteaucreux,Saint-Chamond,11288.136
Saint-Étienne Châteaucreux,Rive-de-Gier,20910.234
Saint-Étienne Châteaucreux,Givors Ville,35591.625
Saint-Étienne Châteaucreux,Givors Canal,37072.352
Saint-Étienne Châteaucreux,Grigny le Sablon,39490.031
Saint-Étienne Châteaucreux,Vernaison,44038.516
Saint-Étienne Châteaucreux,Irigny - Yvours,49365.988
Saint-Étienne Châteaucreux,Pierre-Bénite,51545.457
Saint-Étienne Châteaucreux,Oullins,52976.293
Saint-Étienne Châteaucreux,Lyon Perrache,57571.922
Givors Ville,Givors Canal,1480.739
Givors Ville,Grigny le Sablon,3898.42
Givors Ville,Vernaison,8446.906
Givors Ville,Irigny - Yvours,13774.354
Givors Ville,Oullins,17384.643
Givors Ville,Lyon Perrache,21980.25
Bourg-en-Bresse,Ceyzériat,9824.707
Bourg-en-Bresse,Villereversure,18812.535
Bourg-en-Bresse,Simandre-sur-Suran,22326.223
Bourg-en-Bresse,Cize - Bolozon,25072.266
Bourg-en-Bresse,Nurieux Gare,32933.035
Bourg-en-Bresse,Brion - Montréal-la-Cluse Gare,35569.387
Bourg-en-Bresse,Bellignat,45206.785
Bourg-en-Bresse,Oyonnax,48143.586
Oyonnax,Bellignat,2936.811
Oyonnax,Nurieux Gare,15210.563
Oyonnax,Cize - Bolozon,23071.334
Oyonnax,Simandre-sur-Suran,25817.377
Oyonnax,Villereversure,29331.064
Oyonnax,Ceyzériat,38318.906
Oyonnax,Bourg-en-Bresse,48143.602
Oyonnax,Ambérieu-en-Bugey,79472.172
Oyonnax,Lyon Part Dieu,125869.148
Oyonnax,Lyon Perrache,130978.43
Lyon Part Dieu,Bourg-en-Bresse,60171.008
Valence Ville,Livron,17426.863
Valence Ville,Loriol,20426.496
Valence Ville,Montélimar,44442.344
Valence Ville,Pierrelatte,65950.563
Valence Ville,Bollène la Croisière,77541.93
Valence Ville,Orange,96434.523
Valence Ville,Courthézon,104889.633
Valence Ville,Bédarrides,110408.766
Valence Ville,Sorgues - Châteauneuf-du-Pape,114629.938
Valence Ville,Avignon Centre,124571.0
Valence Ville,Donzère,58218.809
Valence Ville,Arles,159118.766
Valence Ville,Saint-Martin-de-Crau,175255.109
Valence Ville,Miramas,191987.094
Valence Ville,Vitrolles Aéroport Marseille P,222728.813
Valence Ville,Marseille Saint-Charles,244641.969
Valence Ville,Saint-Chamas,197070.281
Valence Ville,Rognac,217629.547
Valence Ville,Pas des Lanciers,226686.375
Valence Ville,L'Estaque,234429.25
Marseille Saint-Charles,Sorgues - Châteauneuf-du-Pape,130099.125
Marseille Saint-Charles,Bédarrides,134320.141
Marseille Saint-Charles,Courthézon,139838.125
Marseille Saint-Charles,Donzère,186506.906
Marseille Saint-Charles,Loriol,224302.719
Marseille Saint-Charles,Livron,227304.984
Livron,Loriol,2999.636
Livron,Montélimar,27015.5
Livron,Donzère,40791.957
Livron,Pierrelatte,48523.719
Livron,Bollène la Croisière,60115.074
Livron,Orange,79007.688
Livron,Courthézon,87462.797
Livron,Bédarrides,92981.93
Livron,Sorgues - Châteauneuf-du-Pape,97203.102
Livron,Avignon Centre,107144.164
Livron,Arles,141692.016
Livron,Saint-Martin-de-Crau,157828.359
Livron,Miramas,174560.344
Livron,Vitrolles Aéroport Marseille P,205302.063
Livron,Marseille Saint-Charles,227215.219
Lyon Perrache,Albigny - Neuville,18979.289
Lyon Perrache,L'Arbresle,37841.648
Lyon Perrache,Amplepuis,68183.625
Lyon Perrache,Le Coteau,93855.43
Roanne,Le Coteau,2619.417
Roanne,Amplepuis,28326.34
Roanne,Tarare,42238.352
Roanne,L'Arbresle,58666.027
Roanne,Lozanne,64823.902
Roanne,Albigny - Neuville,79430.797
Roanne,Lyon Perrache,96700.742
Roanne,Lyon Part Dieu,93323.031
Lyon Perrache,Chazay - Marcilly,27564.404
Lyon Perrache,Saint-Romain-de-Popey,45046.199
Lyon Perrache,Pontcharra - Saint-Forgeux,49384.422
Lyon Perrache,Saint-Victor - Thizy,73706.492
Lyon Perrache,Régny,79812.734
Roanne,Régny,16690.066
Roanne,Saint-Victor - Thizy,22798.955
Roanne,Pontcharra - Saint-Forgeux,47122.801
Roanne,Saint-Romain-de-Popey,51464.441
Roanne,Chazay - Marcilly,68941.523
Roanne,Saint-Germain-au-Mont-d'Or,76655.07
Roanne,Lyon Vaise,92167.961
Ambérieu-en-Bugey,La Valbonne,20995.006
Ambérieu-en-Bugey,Beynost,30430.885
Ambérieu-en-Bugey,Saint-Maurice-de-Beynost,32923.645
Ambérieu-en-Bugey,Miribel,34784.785
Ambérieu-en-Bugey,Crépieux la Pape,40051.539
Ambérieu-en-Bugey,Lyon Part Dieu,46397.059
Ambérieu-en-Bugey,Givors Ville,70618.078
Ambérieu-en-Bugey,Rive-de-Gier,85298.633
Ambérieu-en-Bugey,Saint-Chamond,94918.25
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux,106212.984
Lyon Part Dieu,Givors Ville,24211.25
Lyon Part Dieu,Rive-de-Gier,38891.902
Lyon Part Dieu,Saint-Chamond,48511.535
Lyon Part Dieu,Saint-Étienne Châteaucreux,59806.23
Saint-Étienne Châteaucreux,Lyon Part Dieu,59777.492
Saint-Étienne Châteaucreux,Crépieux la Pape,66128.273
Saint-Étienne Châteaucreux,Miribel,71394.703
Saint-Étienne Châteaucreux,Saint-Maurice-de-Beynost,73349.922
Saint-Étienne Châteaucreux,Beynost,75759.266
Saint-Étienne Châteaucreux,Montluel,79942.281
Saint-Étienne Châteaucreux,La Valbonne,85187.641
Saint-Étienne Châteaucreux,Meximieux - Pérouges,93148.844
Saint-Étienne Châteaucreux,Ambérieu-en-Bugey,106184.711
Saint-Étienne Châteaucreux,Saint-Étienne La Terrasse,2921.724
Saint-Étienne Châteaucreux,Bouthéon,14846.325
Saint-Étienne Châteaucreux,Veauche - Saint-Galmier,19939.229
Saint-Étienne Châteaucreux,Montrond-les-Bains,29578.664
Saint-Étienne Châteaucreux,Feurs,40805.98
Saint-Étienne Châteaucreux,Balbigny,50075.5
Saint-Étienne Châteaucreux,Saint-Jodard,60456.258
Saint-Étienne Châteaucreux,Le Coteau,79056.945
Saint-Étienne Châteaucreux,Roanne,81706.305
Roanne,Saint-Jodard,21261.072
Roanne,Balbigny,31634.895
Roanne,Feurs,40908.223
Roanne,Montrond-les-Bains,52133.895
Roanne,Veauche - Saint-Galmier,61773.5
Roanne,Bouthéon,66869.906
Roanne,Saint-Étienne La Terrasse,78788.945
Roanne,Saint-Étienne Châteaucreux,81709.336
Metz,Hettange-Grande,36429.766
Vienne,Lyon Jean Macé,30338.578
Vienne,Lyon Perrache,31673.631
Lyon Perrache,Saint-Fons,6053.089
Lyon Perrache,Feyzin,10595.608
Lyon Perrache,Sérézin,15748.188
Lyon Perrache,Chasse-sur-Rhône,21268.41
Lyon Perrache,Estressin,29326.49
Vienne,Estressin,2356.261
Vienne,Chasse-sur-Rhône,10416.136
Vienne,Sérézin,15944.813
Vienne,Feyzin,21096.369
Vienne,Saint-Fons,25634.482
Vienne,Lyon Vaise,36211.344
Vienne,Collonges - Fontaines,43096.273
Vienne,Couzon-au-Mont-d'Or,45988.738
Vienne,Albigny - Neuville,48950.098
Vienne,Saint-Germain-au-Mont-d'Or,51722.738
Vienne,Quincieux,54631.98
Vienne,Anse,60443.098
Vienne,Villefranche-sur-Saône,65590.68
Mâcon,Saint-Fons,77308.227
Mâcon,Feyzin,81849.195
Mâcon,Sérézin,87001.398
Mâcon,Chasse-sur-Rhône,92525.266
Mâcon,Estressin,100584.813
Villefranche-sur-Saône,Anse,5145.756
Villefranche-sur-Saône,Albigny - Neuville,16640.311
Villefranche-sur-Saône,Couzon-au-Mont-d'Or,19604.52
Villefranche-sur-Saône,Collonges - Fontaines,22493.861
Villefranche-sur-Saône,Lyon Vaise,29382.338
Villefranche-sur-Saône,Lyon Perrache,33915.121
Villefranche-sur-Saône,Lyon Jean Macé,35252.801
Villefranche-sur-Saône,Saint-Fons,39959.871
Villefranche-sur-Saône,Feyzin,44500.852
Villefranche-sur-Saône,Sérézin,49653.074
Villefranche-sur-Saône,Chasse-sur-Rhône,55176.906
Villefranche-sur-Saône,Estressin,63236.461
Villefranche-sur-Saône,Vienne,65599.625
Lyon Perrache,Collonges - Fontaines,11422.769
Lyon Perrache,Couzon-au-Mont-d'Or,14315.24
Lyon Perrache,Quincieux,22958.469
Saint-André-le-Gaz,Cessieu,12749.767
Saint-André-le-Gaz,Saint-Priest,51477.813
Saint-André-le-Gaz,Lyon Jean Macé,62308.738
Saint-André-le-Gaz,Lyon Perrache,63647.891
Lyon Perrache,Vénissieux,7936.197
Lyon Perrache,Saint-Priest,12127.153
Lyon Perrache,Saint-Quentin-Fallavier,26391.471
Lyon Perrache,L'Isle-d'Abeau,36510.891
Lyon Perrache,Cessieu,50853.961
Lyon Perrache,Saint-André-le-Gaz,63607.559
Bourg-en-Bresse,Servas - Lent,8795.665
Bourg-en-Bresse,Saint-Paul-de-Varax,13465.08
Bourg-en-Bresse,Marlieux - Châtillon,19377.996
Bourg-en-Bresse,Villars-les-Dombes,27006.609
Bourg-en-Bresse,Saint-Marcel en Dombes,34242.203
Bourg-en-Bresse,Saint-André-de-Corcy,37718.879
Bourg-en-Bresse,Mionnay,41728.344
Bourg-en-Bresse,Les Échets,44431.18
Bourg-en-Bresse,Sathonay - Rillieux,51722.508
Bourg-en-Bresse,Lyon Part Dieu,60164.648
Bourg-en-Bresse,Lyon Perrache,65273.898
Bourg-en-Bresse,Lyon Vaise,69806.727
Villars-les-Dombes,Saint-Marcel en Dombes,7235.595
Villars-les-Dombes,Saint-André-de-Corcy,10712.271
Villars-les-Dombes,Les Échets,17424.563
Villars-les-Dombes,Sathonay - Rillieux,24715.883
Villars-les-Dombes,Lyon Part Dieu,33158.008
Villars-les-Dombes,Lyon Perrache,38267.258
Villars-les-Dombes,Lyon Vaise,42800.094
Villars-les-Dombes,Mionnay,14721.727
Lyon Vaise,Lyon Perrache,4532.788
Lyon Vaise,Lyon Part Dieu,9622.206
Lyon Vaise,Sathonay - Rillieux,18069.549
Lyon Vaise,Les Échets,25358.441
Lyon Vaise,Mionnay,28064.881
Lyon Vaise,Saint-André-de-Corcy,32075.629
Lyon Vaise,Saint-Marcel en Dombes,35551.332
Lyon Vaise,Villars-les-Dombes,42787.633
Lyon Vaise,Marlieux - Châtillon,50415.203
Lyon Vaise,Saint-Paul-de-Varax,56328.125
Lyon Vaise,Servas - Lent,60997.547
Lyon Vaise,Bourg-en-Bresse,69793.227
Sarrebruck,Hombourg-Haut,21372.777
Sarrebruck,Saint-Avold,27894.508
Sarrebruck,Faulquemont,38652.66
Sarrebruck,Rémilly,55831.461
Sarrebruck,Metz,78027.625
Sarrebruck,Herny,49070.547
Die,Livron,53828.16
Die,Valence Ville,71253.602
Die,Romans - Bourg-de-Péage,90811.492
Lyon Perrache,Mionnay,23532.105
Lyon Perrache,Villars-les-Dombes,38254.852
Lyon Perrache,Marlieux - Châtillon,45882.422
Lyon Perrache,Saint-Paul-de-Varax,51795.344
Lyon Perrache,Servas - Lent,56464.766
Lyon Perrache,Bourg-en-Bresse,82819.961
Lyon Perrache,Sathonay - Rillieux,13536.769
Lyon Perrache,Les Échets,20825.666
Lyon Perrache,Saint-André-de-Corcy,27542.854
Lyon Perrache,Saint-Marcel en Dombes,31018.549
Saint-Étienne Châteaucreux,La Fouillouse,9415.122
Saint-Étienne Châteaucreux,Andrézieux,15328.406
Saint-Étienne Châteaucreux,Bonson,18334.086
Saint-Étienne Châteaucreux,Sury-le-Comtal,21156.115
Saint-Étienne Châteaucreux,Saint-Romain-le-Puy,26738.996
Saint-Étienne Châteaucreux,Montbrison,33290.863
Montbrison,La Fouillouse,23875.754
Montbrison,Saint-Étienne Châteaucreux,33292.5
Boën,La Fouillouse,41441.738
Boën,Saint-Étienne Châteaucreux,50858.477
Saint-Étienne Châteaucreux,Boën,50856.867
Saint-Étienne Châteaucreux,Saint-Étienne Carnot,1249.396
Saint-Étienne Châteaucreux,Saint-Étienne Bellevue,5206.517
Saint-Étienne Châteaucreux,Firminy,14470.906
Saint-Étienne Châteaucreux,Aurec,24456.799
Saint-Étienne Châteaucreux,Bas - Monistrol,35466.848
Saint-Étienne Châteaucreux,Pont de Lignon,40365.941
Saint-Étienne Châteaucreux,Retournac,52911.934
Saint-Étienne Châteaucreux,Chamalières-sur-Loire,56663.5
Saint-Étienne Châteaucreux,Vorey,65186.891
Saint-Étienne Châteaucreux,Saint-Vincent le Château,70092.992
Saint-Étienne Châteaucreux,Lavoûte-sur-Loire,73875.906
Saint-Étienne Châteaucreux,Le Puy-en-Velay,85766.094
Le Puy-en-Velay,Le Chambon-Feugerolles,74150.695
Le Puy-en-Velay,La Ricamarie,77413.016
Le Puy-en-Velay,Saint-Étienne Bellevue,80555.594
Le Puy-en-Velay,Saint-Étienne Le Clapier,83138.094
Le Puy-en-Velay,Saint-Étienne Carnot,84519.734
Le Puy-en-Velay,Saint-Étienne Châteaucreux,85770.781
Saint-Étienne Châteaucreux,Saint-Étienne Le Clapier,2625.463
Saint-Étienne Châteaucreux,La Ricamarie,8351.417
Saint-Étienne Châteaucreux,Le Chambon-Feugerolles,11606.952
Le Puy-en-Velay,Pont de Lignon,45398.363
Le Puy-en-Velay,Fraisses - Unieux,68869.508
Saint-Étienne Châteaucreux,Fraisses - Unieux,16894.762
Bas - Monistrol,Aurec,11010.06
Bas - Monistrol,Fraisses - Unieux,18572.098
Bas - Monistrol,Firminy,20996.965
Bas - Monistrol,Le Chambon-Feugerolles,23853.264
Bas - Monistrol,La Ricamarie,27115.559
Bas - Monistrol,Saint-Étienne Bellevue,30258.055
Bas - Monistrol,Saint-Étienne Le Clapier,32840.617
Bas - Monistrol,Saint-Étienne Carnot,34222.23
Bas - Monistrol,Saint-Étienne Châteaucreux,35473.301
Lyon Saint-Paul,Lyon Gorge de Loup,1773.127
Lyon Saint-Paul,Écully la Demi-Lune,3929.503
Lyon Saint-Paul,Tassin,5655.184
Lyon Saint-Paul,Le Méridien La Ferrière,6837.386
Lyon Saint-Paul,Charbonnières-les-Bains,8626.357
Lyon Saint-Paul,Casino Lacroix Laval,9455.754
Lyon Saint-Paul,La Tour-de-Salvagny,11228.605
Lyon Saint-Paul,Lentilly Charpenay,14592.707
Lyon Saint-Paul,Lentilly,16017.973
Lyon Saint-Paul,Fleurieux-sur-l'Arbresle,18752.896
Lyon Saint-Paul,L'Arbresle,22755.301
Lyon Saint-Paul,Sain-Bel,25480.443
Sain-Bel,Fleurieux-sur-l'Arbresle,6727.544
Sain-Bel,La Tour-de-Salvagny,14251.836
Sain-Bel,Tassin,19825.262
Sain-Bel,Écully la Demi-Lune,21550.939
Sain-Bel,Lyon Saint-Paul,25480.443
L'Arbresle,Fleurieux-sur-l'Arbresle,4002.405
L'Arbresle,Lentilly,6737.33
L'Arbresle,Lentilly Charpenay,8162.597
L'Arbresle,La Tour-de-Salvagny,11526.698
L'Arbresle,Charbonnières-les-Bains,14128.946
L'Arbresle,Le Méridien La Ferrière,15917.917
L'Arbresle,Tassin,17100.121
L'Arbresle,Écully la Demi-Lune,18825.799
L'Arbresle,Lyon Gorge de Loup,20982.176
L'Arbresle,Lyon Saint-Paul,22755.303
L'Arbresle,Casino Lacroix Laval,13299.55
Tassin,Les Flachères,2123.834
Tassin,Dardilly les Mouilles,4463.612
Tassin,Dardilly - Le Jubin,6587.231
Tassin,Dommartin - Lissieu,11406.162
Tassin,Civrieux-d'Azergues,14468.066
Tassin,Lozanne,18359.438
Lozanne,Civrieux-d'Azergues,3891.378
Lozanne,Dommartin - Lissieu,6953.292
Lozanne,Les Flachères,16235.617
Lozanne,Tassin,18359.441
Brignais,Chaponost,2918.77
Brignais,Francheville,7035.155
Brignais,Alaï,9469.399
Brignais,Écully la Demi-Lune,11530.78
Brignais,Lyon Gorge de Loup,13687.158
Brignais,Lyon Saint-Paul,15460.287
Lyon Saint-Paul,Alaï,5990.883
Lyon Saint-Paul,Francheville,8425.128
Lyon Saint-Paul,Chaponost,12541.512
Lyon Saint-Paul,Brignais,15460.282
Gap,Chorges,16262.779
Gap,Embrun,38644.121
Gap,Mont-Dauphin - Guillestre,55803.789
Gap,L'Argentière les Écrins,71057.531
Gap,Briançon,86721.172
Manosque - Gréoux-les-Bains,Volx,8206.971
Manosque - Gréoux-les-Bains,Forcalquier,23455.029
Forcalquier,Volx,15236.195
Forcalquier,Manosque - Gréoux-les-Bains,23615.553
Volx,Manosque - Gréoux-les-Bains,8379.362
Volx,Aix-en-Provence Gare Routière,65198.402
Volx,Marseille Saint-Charles,93983.633
Digne-les-Bains,Mallemoisson,10453.079
Digne-les-Bains,Malijai,18699.445
Digne-les-Bains,Les Mées,27523.219
Digne-les-Bains,Peyruis Péage,28741.773
Digne-les-Bains,Manosque - Gréoux-les-Bains,56770.879
Digne-les-Bains,Aix-en-Provence TGV,125802.117
Aix-en-Provence TGV,Manosque - Gréoux-les-Bains,69508.891
Aix-en-Provence TGV,Peyruis Péage,97387.07
Aix-en-Provence TGV,Les Mées,98603.289
Aix-en-Provence TGV,Malijai,107213.531
Aix-en-Provence TGV,Mallemoisson,115764.367
Aix-en-Provence TGV,Digne-les-Bains,126188.477
Gap Gare Routière,Gap,577.036
Gap Gare Routière,Sisteron Halte Routière,51082.516
Gap Gare Routière,Sisteron,51740.879
Gap Gare Routière,Peyruis Péage,75031.422
Laroche - Migennes,Joigny,9406.909
Laroche - Migennes,Saint-Julien-du-Sault,20241.742
Laroche - Migennes,Villeneuve-sur-Yonne,27930.832
Laroche - Migennes,Étigny - Véron,34795.09
Laroche - Migennes,Sens,42294.133
Laroche - Migennes,Pont-sur-Yonne,53617.055
Laroche - Migennes,Champigny,60899.613
Laroche - Migennes,Villeneuve-la-Guyard,65720.844
Laroche - Migennes,Montereau,76301.797
Laroche - Migennes,Saint-Mammès,86786.766
Laroche - Migennes,Moret - Veneux-les-Sablons,88151.172
Laroche - Migennes,Fontainebleau - Avon,95973.078
Laroche - Migennes,Bois-le-Roi,104029.93
Laroche - Migennes,Melun,110785.234
Laroche - Migennes,Paris Gare de Lyon Hall 1 - 2,155655.922
Paris Gare de Lyon Hall 1 - 2,Melun,44229.73
Paris Gare de Lyon Hall 1 - 2,Bois-le-Roi,51079.961
Paris Gare de Lyon Hall 1 - 2,Fontainebleau - Avon,59113.738
Paris Gare de Lyon Hall 1 - 2,Moret - Veneux-les-Sablons,66929.234
Paris Gare de Lyon Hall 1 - 2,Saint-Mammès,68289.773
Paris Gare de Lyon Hall 1 - 2,Montereau,80553.398
Paris Gare de Lyon Hall 1 - 2,Villeneuve-la-Guyard,91123.469
Paris Gare de Lyon Hall 1 - 2,Champigny,95944.289
