Départ,Arrivée,Distance (m)
Lyon Perrache,Saint-Rambert-d'Albon,61038.602
Lyon Perrache,Saint-Vallier sur Rhône,73953.055
Lyon Perrache,Tain-l'Hermitage - Tournon,88242.18
Lyon Perrache,Valence Ville,106299.789
Lyon Perrache,Montélimar,150768.422
Lyon Perrache,Pierrelatte,172276.578
Lyon Perrache,Bollène la Croisière,183867.938
Lyon Perrache,Orange,202760.422
Dijon,Les Laumes - Alésia,57364.762
Dijon,Montbard,71215.375
Dijon,Nuits sous Ravières,89390.594
Dijon,Tonnerre,117934.227
Dijon,Saint-Florentin - Vergigny,141827.594
Dijon,Laroche - Migennes,159275.203
Dijon,Joigny,168682.375
Dijon,Sens,201569.734
Dijon,Paris Gare de Lyon Hall 1 - 2,314922.594
Dijon,Paris Bercy Bourg. Pays d'Auv.,314220.594
Dijon,Beaune,37094.539
Dijon,Chagny,52135.992
Dijon,Chalon-sur-Saône,68097.375
Dijon,Tournus,93651.414
Dijon,Mâcon,125682.797
Dijon,Belleville sur Sâone,148653.438
Dijon,Villefranche-sur-Saône,163040.219
Dijon,Saint-Germain-au-Mont-d'Or,176923.266
